00887873114,2011-03-02,AB-
61264018125,2001-03-17,AB+
24004865538,1998-09-22,0+
40512033021,2005-01-27,B-
37728108788,2013-12-07,0-
50274843610,2008-07-03,0+
17853707802,2002-07-07,B+
13603637181,2013-08-10,A-
28437614807,1979-02-16,0+
83212040436,1980-03-20,A+
00703747310,1976-07-23,AB-
78304438887,1979-04-15,A-
13476170874,1999-05-25,AB+
70088353304,1993-12-02,B+
54313760868,1978-08-18,0-
12677408236,2009-05-01,A+
78447586588,1982-08-17,0+
43205236820,2018-08-14,A+
21343363604,1999-11-08,B-
68130112155,2012-12-19,B-
00110770757,2012-09-08,B-
43704205528,2020-01-26,AB-
08884764850,2007-01-01,AB-
86318877628,1970-01-05,0+
32254307677,2004-07-16,A+
31501443631,1971-04-09,A-
58142733206,1995-02-07,AB-
80532855614,1994-06-05,A-
21624013163,2017-11-01,0-
67363721572,1986-08-12,A-
87328252364,2002-04-26,B+
53403440282,1982-09-13,B-
58721627614,2016-02-19,B+
17852042305,2019-04-09,B-
36556525473,1997-07-17,B-
01080671528,1979-09-20,B+
24360317867,1973-04-12,A+
34143228020,2014-07-15,A-
28202540483,2018-02-09,AB+
15802831676,2017-05-02,AB+
43208618654,2001-03-24,0-
64136083885,2012-09-13,AB+
68375132130,2016-05-07,A-
51864830768,2004-02-28,0+
06166065371,1999-07-28,0-
17782781613,1974-04-07,AB+
45264104557,2004-10-20,0+
51667875688,1979-11-21,0+
02545726236,2019-02-06,A-
55373660500,1989-01-22,0-
46033530250,1996-07-16,B-
71266384121,1988-08-28,B-
57588741255,1996-07-10,A+
25517127805,1981-10-06,B+
26217337447,1992-02-08,0+
13242561460,1990-04-16,AB+
77830034610,1982-08-19,0+
40043861226,1970-06-07,A+
07828036873,1990-09-04,B-
13544322845,2003-04-27,B+
87500414057,1999-10-21,AB-
32100610610,1984-11-07,0+
64663718426,2020-04-01,A-
60467232570,2005-04-09,B-
58400260068,2016-01-03,0+
34713824854,1970-12-08,0-
61436370204,1993-01-26,A+
30057765482,1992-08-03,AB-
63265632366,1972-08-02,A+
06868053327,1979-03-22,B+
67146040418,2004-03-01,B+
11144860834,1998-12-25,0-
01580152008,1989-11-08,AB-
27222837340,1972-02-27,A-
78437087485,2016-11-01,AB-
52877147112,2016-03-18,0-
67883457806,1991-01-03,A-
23325766873,1974-10-14,A+
34482207281,2005-03-15,0-
01414201516,2006-02-08,0+
42345732275,1985-05-02,B-
66420200631,2003-01-26,AB+
65046767858,1973-09-05,0+
68236655388,1994-09-28,AB+
85781772816,1972-01-19,AB+
80432446707,1988-12-20,A+
28835160845,1985-01-08,B+
08502516843,2008-11-19,A+
48366022382,1987-06-20,A+
48054230701,2004-09-24,0+
45671616431,1983-08-09,A+
03334581363,1973-06-23,A+
75015407317,2013-02-19,AB+
07813237582,2004-11-17,AB-
53272808115,1995-10-03,AB-
12411330052,2002-10-21,A+
15580018231,2010-04-20,B-
00562325545,2007-10-04,B-
75577365852,2013-06-25,AB-
24254258473,1993-11-28,AB+
03822341452,2021-07-25,B+
10427525726,1983-07-25,AB-
03228545347,1982-12-20,0-
40444204773,1972-03-19,B-
78123806326,1991-06-21,A+
44516052550,2021-03-21,B+
33703353021,1985-03-20,AB-
11012338714,1995-10-08,A-
46286471453,2005-11-11,0+
72641620542,2007-07-03,0-
12666238824,1990-05-07,A-
66727557107,2000-04-09,B+
71152240824,1971-11-03,B-
83876182704,2018-03-09,AB+
48287237327,2021-05-10,A-
33640630545,2004-04-24,A-
41607701413,2020-11-27,AB+
68343835727,1988-01-19,AB+
47534551200,1976-12-12,AB-
86735058182,2013-03-07,AB-
43326054672,2012-01-12,A-
66410833167,1972-02-28,A-
45415487400,1982-12-22,0-
50806873800,1987-09-02,0-
05563302122,1982-05-12,A-
32463155677,2007-01-09,A-
66623440460,1988-06-16,AB+
07606347418,1985-01-10,AB+
20531164327,1975-03-27,A+
14314504768,1977-04-26,B+
37307152670,1992-03-19,AB+
34475647510,2009-12-14,AB-
42570141602,1995-06-05,0+
67185373856,1982-06-15,0+
86272022772,1981-03-08,AB+
22585068831,1975-12-09,B-
81527552240,1982-12-15,B-
88001515370,2011-03-21,AB+
06562265382,1970-06-17,AB-
25610450231,1995-03-22,A+
50808668563,1971-02-19,AB-
17016475033,2007-11-23,0-
81736355500,1994-07-28,B-
02172343077,1978-07-28,A-
18272177280,2006-10-07,AB+
36554222160,2020-12-05,B-
51864880722,2001-10-16,AB+
11246211351,1993-08-24,AB-
62335384226,1981-03-11,B-
10124612571,1973-11-23,A+
31854716328,1994-06-11,B-
68667006783,1973-12-25,A+
66432608068,1972-09-06,AB+
70656646772,1974-05-06,AB-
11206127660,2019-01-06,A-
18562376461,2001-03-03,AB-
58632313845,1981-11-10,B+
16880334777,2002-07-16,A+
51814467560,1983-05-16,AB+
65248322648,1985-11-07,0+
78834254516,2003-02-12,B-
17013763342,1990-06-27,A-
25317333384,2003-04-15,0+
40442402086,2020-10-10,0-
70688465464,2004-07-11,B+
32800833638,1996-02-01,0-
14276162232,1981-11-06,AB+
50232235056,2007-07-05,0-
28037181554,1978-05-02,A+
25526324000,2018-07-14,A-
86657426407,1979-07-08,A-
87765426726,2011-10-02,0+
62822685306,2015-01-12,B-
10444260410,1985-11-17,0+
23364766472,2019-05-26,0-
35585043288,2008-07-22,AB-
28147868580,1977-04-12,AB-
18310251687,2013-03-17,AB-
70070848604,1995-05-06,A-
13511062121,1978-01-07,A+
06876270151,1997-11-14,A+
00766612651,1976-12-05,A-
78281517820,1983-07-07,AB+
06502715735,1996-10-03,A+
17110706210,2020-06-28,A+
73036225120,1992-09-28,B+
11405501036,2019-02-02,AB+
20268822623,2016-10-03,A+
78044611548,1972-03-19,A+
28337478475,1974-06-08,AB-
70788170523,1972-10-24,AB+
06073327650,1988-06-23,A-
23635803825,1989-01-10,0-
54854207331,1980-05-13,0-
46221023418,1992-12-26,AB+
27153054211,1987-06-16,B-
31316004608,2011-06-18,AB+
37664515487,2006-06-06,A-
52670182864,1990-08-06,A+
77105271404,1992-06-01,0+
46384701258,1988-01-21,A+
33345478435,1973-11-15,0-
70680503016,1996-07-20,A+
31444526832,1984-03-14,B+
48873756008,2004-05-25,0+
62050403866,2021-09-14,0+
31806463700,1971-04-17,AB+
25127726787,2018-06-25,AB-
81671884524,1977-03-28,0+
32574083883,2014-05-16,A+
62718312578,2009-10-01,A-
12252803758,2005-08-18,B+
52277783328,2005-03-08,B+
56380368563,2007-10-08,AB+
42276374453,1990-11-15,A+
06887101327,1998-12-07,A-
17311767722,1995-07-12,A+
23152827815,2020-03-24,B+
45208541306,1997-12-17,A-
53436571236,1988-09-02,B+
30550448765,1974-05-11,AB+
53371758876,1981-11-12,A-
11453032062,2011-05-14,B-
11712363763,1976-04-13,A-
85827617873,1985-04-07,B-
52502837161,2011-01-01,A-
58218352613,1982-08-28,B+
53882235752,1974-06-12,AB+
21520723866,1976-01-06,B-
57800345281,1974-07-02,0-
05451324408,1995-02-21,B+
47606582342,1998-11-04,AB+
30280161226,2016-07-05,AB+
07227622206,2001-02-09,0-
10335016668,2002-06-13,A+
08580470405,1980-03-23,0-
28238771884,2013-09-09,0-
70680561323,1980-11-13,A-
11385056162,2019-06-09,AB-
88340767715,2020-06-07,A-
01742114328,2021-12-15,0+
46387361071,2011-09-12,A-
77183120402,1990-08-20,B-
88442085082,2006-07-01,AB-
64615530534,1998-06-25,0+
60801086718,2008-07-21,AB+
17230115505,2000-11-19,0-
63776458776,1978-03-24,0+
43767662471,1970-06-23,A-
14688653155,1990-06-04,A+
17134017561,1998-03-28,B+
