1,Anastazy,Gorkiewicz,,,05837142348,5093,32526
2,Kazimierz,Urbanski,65565654737389485282738975119507510310185536781515672989989111104568256664949679811552,661215510653981206687891197411569555599102117495654111114120518610311871547456101655284545178,11305807630,10499,25088
3,Jan,Wlodarczyk,10249785572115557811851529851785284869711565656773120865148671001211157611851785174745273,1194870694849103771191057782667771112991197853108785369100113715051107121545274651071068576101,72551631403,23785,23546
4,Leszek,Jakubowski,,,53507485062,3221,39124
5,Katarzyna,Gajewska,,,26060316746,25323,30176
6,Marcin,Marciniak,836650776948505211455491071085448104676710711551104,56517911898565272535180559875113734974569966105,72466016105,18230,20561
7,Monika,Marciniak,5678898283768152997750119555149558570657411070112109,991077349117106525288978371707085685653997150115118106,24784821433,26155,12262
8,Otylia,Kwiatkowska,8897801161065187101116811091016973111120119104,56838053506673801155010187495210054102109,76484741835,28202,24651
9,Adrianna,Zakrzewska,,,48244138060,2349,3700
10,Milena,Sikorska,87565489527548106721165255728080885611110176108511195683849955985610452117767811212179,10656505148666852507182110115100875110482874882115488750807550107116113110731061001185183,64723524857,1207,24033
11,Jaroslaw,Lis,,,00008147023,3168,19239
12,Nikola,Szczepanska,,,03135047815,16160,27655
13,Eryk,Zalewski,,,03573216538,23523,34701
14,Leszek,Wozniak,52531071098555539750102481069910550895249114558868674856112811045298111,525256801021147552120111725310410210956876674491109853737311481566954116,55467057706,8333,34334
15,Alicja,Brzezinska,536551537653517853861095397507997,5378831191035586498472101110557510278,12717104385,5793,15493
16,Dagmara,Jankowska,,,36312541323,23030,13968
17,Bartosz,Rutkowski,,,33387335631,17802,35346
18,Otylia,Sawicka,,,61262205242,2028,4262
19,Dagmara,Urbanska,,,11562557713,816,38788
20,Jozef,Walczak,,,21610320730,8708,31327
21,Konrad,Wisniewski,10355100119118108538149106764810755521165497871096610811911868111815453558971497471651031015656984850,109491101025610386535573675652981125388721025573991045651531125510381116104555349104516587991217154,65060514732,23928,29214
22,Katarzyna,Sikorska,10466725049111548480857778888099488050119857710511297508051,755376865185113121112555351541051208410710811811911848102485011798,88075082805,4390,3255
23,Joanna,Blaszczyk,,,33118642530,10731,32231
24,Oktawia,Szczepanska,494912082744911352535550481061088582546612110873541031035211010777548980757178106,8171491071051065252120486981536611753791164812049551015472118806978745381494973,56773761628,10539,12221
25,Andzelika,Glowacka,11470103696784107111551091005510110049109481071068055708812110510280721215053487487541075148,51728253501095082521138311751118111661028668497953511165610887786576704865110836798108,52642610383,28111,27021
26,Iza,Adamska,5352696554977855874810151115104491064987819910166103844898828748545111471117,7798535054103844851501108253112698885505610910251103118120989811012053991218999,37757267122,12604,8803
27,Antonina,Nowak,,,17256121805,2637,30906
28,Milena,Kwiatkowska,511201175478118100112110105115116787810086107,717149535185555573504810548116705548,47568300848,23816,18721
29,Aleksandra,Brzezinska,,,15568123585,18475,16887
30,Katarzyna,Ziolkowska,724910768895410152766711611711372106551028787681215410699535178547176,67106688898107107517874548299801081154873106511218267109697556734872,28641585222,2972,37809
31,Helena,Tomaszewska,71887750771061049811111552107100887110456107121101777450,5253505010351821061134949481071021095568829811454114101,76604083785,283,37304
32,Oktawia,Krawczyk,,,60627112525,17252,25419
33,Marcin,Jasinski,,,53772011844,12591,13230
34,Andzelika,Marciniak,,,44510758654,17635,22610
35,Monika,Piotrowska,505011355506810810780103541116665815511065,1017250818010865106545411449514911311088108,55537377230,7264,4233
36,Arleta,Zakrzewska,5253686553120119508010586871141071126683708866106481145649114515251545011311010752,527098113551005498865188851035383545583548312082871011011021021075211510380549788,70150446082,9743,39783
37,Pawel,Wisniewski,88524850121101678669112481084975110881125548539852538211911910611754119484981117112738756568682,764979775410878985250113558212010311766515454527910376811214978511116797106539982541086910750,42842307012,1766,31302
38,Oktawian,Laskowski,11453849854481205451102102116565255899769,51537852101731148410466986912197885311268,53367243048,20914,14811
39,Maja,Kucharska,,,88207836075,7322,39289
40,Honorata,Maciejewska,65112107106508155551095253851145152845012078855510453805449866889105,118101731041041039953100111541187650765587531088666721131168799695682117,45072417630,25615,2042
41,Anastazy,Jasinski,,,33433427704,2755,20446
42,Otylia,Blaszczyk,5351107557570119511021127477487610610287121835352119796876485683531051031085653,100507110676559956117655410274871001179812011811510810248111516711710010872827479110,76163514377,21469,32008
43,Jozef,Wisniewski,,,60227561303,8762,19866
44,Czeslaw,Mazur,,,44158214087,15487,16202
45,Eryk,Wisniewski,,,42208717628,24513,4727
46,Joanna,Przybylska,,,52080363543,16535,30423
47,Leszek,Rutkowski,,,00870732467,7724,4574
48,Cezary,Kubiak,86521218412012111048747611452487212056103106117495253,74735251689955111107109677185661021051041158750100116,55884344002,7533,37143
49,Eustachy,Krawczyk,1135048724811211256101778050121121541114911173747280109551181215054896771698311368845177511117371,1011001077049781085365120555010299691031094853731028556107987752565410010597655471121119785011478103,36671554860,18546,21642
50,Eustachy,Krupski,8584519899113104699711849551191134968751028998114487554797510749991168811675537751494884,73761208171545471109104995149545176108107112977387761111175348525611553817610511853568276,85650403583,668,21052
51,Eustachy,Mazur,,,80208776752,29944,27367
52,Emil,Laskowski,,,38401667731,7229,26651
53,Franciszka,Sikorska,83481081015256671045354725655677311948119697176681045184655310410175545111655555656794810756104108108,545612172797976884988112885170776597529855505050556511582825188100115531021146881120765589545277,36363480623,12963,10107
54,Norbert,Marciniak,,,42358077456,24446,31493
55,Konrad,Gorkiewicz,,,42680874406,2967,33232
56,Agata,Adamska,567648117117565186521151135156111495181536671,48771128849508949521081128311267121541194912176,06806353330,22737,36684
57,Bartosz,Kozlowski,53504856103838650117808249121547210053829912052747798825581,558210655791025353828884818410478899949895610048779912111349,43653677532,6161,15200
58,Agata,Jankowska,,,41817451641,10515,3445
59,Artur,Brzezinski,,,55627827038,5915,27581
60,Andzelika,Szczepanska,,,40761087751,24684,28124
61,Marcin,Lis,118102491061108881108971098183785355785370715476101,514911275567451551219910711710911685517077114485277,67140407711,6948,578
62,Anatol,Zalewski,10148525012170111848212086497198986668119102106111521065010372569954528155100715053,9910448114777673104748583504954777010369498910889117100115567381845211072103109116111,43620487610,5350,9440
63,Arleta,Sikorska,,,73115621054,12103,38755
64,Emil,Wozniak,551081101215252887584897051112112838410250515611389110116889810875737285,5356104497565488580731069788795465101888056521075097113754810710583119,03525262383,20176,15763
65,Iza,Nowak,,,38837700621,13366,37762
66,Alan,Wysocki,,,10771087685,15264,21969
67,Remigiusz,Jakubowski,808683704899535650984911611779826784668154112765610356515081107,79861078611982110745154501008953521071161017111380113534811755788953,86813526012,26643,1606
68,Katarzyna,Ziolkowska,,,81023486674,2117,25877
69,Franciszka,Gajewska,,,81404133518,20076,28401
70,Gustaw,Jakubowski,491161125185811031117779109778411611010170501196610174525451861055650995053,7853667383667611810151664810254481014878481085072112113120651158899798685,53400545070,15601,2124
71,Leszek,Kwiatkowski,,,42411162385,7370,12286
72,Czeslaw,Jakubowski,561031045272536766515069495651100100865456975483716952509710710872535349,51689910155767172831085149517854110705077707454545410182841217811011711848,86671576602,5115,16048
73,Jozef,Jasinski,,,24632276470,1907,14817
74,Artur,Kubiak,9711111876551154853494966117987073971025549666949,1135470120524876547483511055451111738186728910786,70731457260,24619,19436
75,Bartosz,Krawczyk,,,76267073843,1312,29044
76,Marcel,Malinowski,,,37524161517,1824,31130
77,Dagmara,Przybylska,,,34525654475,6356,25718
78,Bartosz,Urbanski,541145365808050105568612049507512068751011098081101115104102881216655107106545448899951,737756488480524812151697455745378119495348991217411283121524810711048561091195382104,20125752528,28442,5932
79,Lukasz,Kubiak,4981101102688111910710982117525410466661124967113885149,11010411611070495665111719969102517511712051106121115119116,00834241607,15343,19480
